"HolderAddress","Balance","PendingBalanceUpdate"
"0x31d3243cfb54b34fc9c73e1cb1137124bd6b13e1","484,232.260401073024787194","No"
"0x3e9dcbe355af8893aed161d0fb6ec4f9f553a6dc","478,294.294877063222250197","No"
"0xf8a5a74066a16ab59a893a116bf12debf0731c69","477,534.407160038380082037","No"
"0x26e547a9f3fd90e49a9a85a91001ca3f7ba2c81d","405,186.182389629001558851","No"
"0x121df6cf9d35c240aa191dc045e24b4f4ef4fa5b","385,108.607154002329082565","No"
"0xd2eda519196fb6baa1aa602820130ef3093f9c23","369,481.742875513088970058","No"
"0xbe540a7daf95accb7f4dffc3f72d215876f40010","367,319.374734941024320071","No"
"0xbe6698cdc1e9f65d8c5149f3adb2603b0385ffcb","355,095.047685669030569957","No"
"0x44431068f68417d9afab4462bd01584cb0a57a9e","293,272.239545825422509144","No"
"0xe0019d15f39ec9e8007acd7ca0776dd90eb3d333","272,275.731747578539214964","No"
"0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77","269,878.961633752290213885","No"
"0x6ad977aa58ebca43ee1be688274c037be7a7a0e5","269,547.371714873230483196","No"
"0x0cbe5e4df430480ae5f095aebcb27cf012f44d51","262,806.297251337757458534","No"
"0x0e1ad0fefd3a7603e39db2a02e4e55bd54ec1c8b","257,857.372116286906762939","No"
"0x9f5237babaef17324d4fc577a35dc0c40d4e2164","248,598.157260087686886703","No"
"0xf2b889437f243396b29e829908b5d8ebe2e13048","247,387.27008527117457727","No"
"0x9a2a20091c094c2c3f846d677674ae8ca7285251","244,549.472880207560537786","No"
"0xef5311dd95f4d3f8be88a3dc3ea71b48e71a12eb","240,692.453120875421885774","No"
"0x6780ac060fdcba20ae02a6197c84bdc70cf8716b","236,070.27548907889602243","No"
"0x71f12a5b0e60d2ff8a87fd34e7dcff3c10c914b0","232,448.136812178846942086","No"
"0xf0dfb4e59a9e6bd52df1435194849bd1a64889ed","215,493.224433413330886956","No"
"0xe55c83a72ed2f9debbc3edc8037f5aa82086e9e8","201,906.27637390969064688","No"
"0xba146536cc1585b2e192358263197ac1dfb87639","200,078.724544167432032857","No"
"0xf24a872344d7e78e6f9895a57b672d93f29d3100","199,524.898372063710544946","No"
"0x058b10cbe1872ad139b00326686ee8ccef274c58","198,300.231583200820139106","No"
"0x77e3dae164c3145452b81f5affb2e8c6f0a226c9","194,695.199199355595281971","No"
"0x80878c3e0a19f25f126425e4d4e0aa944b67a51f","192,536.007505742047930303","No"
"0x20eadfcaf91bd98674ff8fc341d148e1731576a4","191,204.923423471719062635","No"
"0x32d08fde723c687a2bc6f5321bae63c7189483ed","190,950.555404551367758389","No"
"0x7527557858b4b40f9199a49ab3746179f36bd9d8","188,230.816688334807891299","No"
"0xa15071f4a6274cd8520ea1032ae36fd8685ad5f8","178,991.294798260751924877","No"
"0x5eac117187cac1e5654080835b086776fe2ec179","173,319.4207579836875588","No"
"0xd0ea4fd0073ae1d8910aedaab679d8e51a879ce3","171,513.218863616225931515","No"
"0x3be3a8613dc18554a73773a5bfb8e9819d360dc0","170,395.113027759559210027","No"
"0x07930c93dcd3425b9ebd67765e28a0bbdb0d5893","166,803.888615342540220715","No"
