"HolderAddress","Balance","PendingBalanceUpdate"
"0xda6827f56e62671f446348d12e6815566756d93d","8,554.543373386341480537","No"
"0x20a05ae8efe1eb91be0cd07356bc20eda9c2e298","8,355.007395035753667664","No"
"0x7b31e0eadc2e43df703e46d7446ef176d0ec22a5","8,338.550045205561670494","No"
"0x613ba3bf91df37b6b577fa39b585bec5431b2ebf","7,653.073809947106589035","No"
"0xf308ccf2a3ddc88e8c2ab11cb913c9dcd16e62b1","7,648.173157875888752861","No"
"0xbb555ff54e251ad742ae61f8881d1ae904b3bffa","7,273.410467428479396069","No"
"0x33cb0c602d9d2965c5538731bab28f122988f74e","6,820.463331784808448999","No"
"0xd621918dd9162a8ec59d3873b56f4ccba3c3bf46","6,694.666608163097044151","No"
"0xd2d5cb684c2248d1a09bb29521cad7649d21d933","6,492.262884932549840901","No"
"0x10e4776efab388c6c19420b507d69c1e6d37ba3d","6,484.248681874165742215","No"
"0x806c48c64e23e2d32daefa5034daa9df4554cc64","6,400.180803677779397079","No"
"0x87bc2f2ba8c83f412fed5c3151de0ffbdc959984","6,299.704426107935902938","No"
"0x5a49d30d54d0f05b76b6e65f42d627da10eaf0c1","6,248.225818208701897837","No"
"0x3dc606ce9cca12196917a3267a8ae7008e018958","6,152.5446954250598998","No"
"0xfe08d06a422992ab8eb3dbcd1475f39c8d595ca5","6,126.007370258664957925","No"
"0xd01740160ada5323fb54b32ed0b98ec31dd190c7","6,059.350889552474495223","No"
"0x55c505e55564525df60755ab055955b7eeac5455","5,450.619494562636075934","No"
"0x4aec78e984865b5636e5cef064e1ee871e14909c","5,396.745794034835655152","No"
"0x889cef5559eb8b6a1dbcc445fb479e5530c37d8f","5,200","No"
"0xa38ebc64f90838aad34d955e937940e2a688f45b","5,045.759601714509648808","No"
"0xa0c8f98501fda2f29e1d6a1845cc195353ced672","5,036.680307812177775458","No"
"0xd557abcd7d132dc46aa5f935eb6226ad04af8dbf","5,030.087292578442280807","No"
"0x3731696c9b5098beacf8dd03ac00c30bba979806","4,996.252958420238346713","No"
"0xc492cd9f2bb6934a8f5242cc14d257b028a6a107","4,992.457471946084682909","No"
"0xbb991998a09be83bd3d10654550b799c2fecb605","4,957.856666352624357567","No"
"0x997b96bad648c39226281bc002f9857274e42a01","4,957.725376243159447894","No"
"0x92ecf47d2ce9bd7c45b3f807ee6fac0c91225de8","4,953.911100549203496443","No"
"0xb0291ece2b9c9868fc3d4c62d0ec2686abefde58","4,945.419883208672568461","No"
"0x41e4ad9d6c41f4a962807b6bfbe4466c757d209c","4,932.511084336237051734","No"
"0x72cc486baafb0804c1a1f4260432688c10d7ad99","4,889.212384227746074586","No"
"0x446e226b5f1a1586bb4570cabb0aa70308c6e1c6","4,800.632122128448369151","No"
"0xf4b5ed22a85df12226e2b6c6a673861614dab6c3","4,544.16785178768034097","No"
"0x64f292b4fbfa51fa4d941d409166ee7677aac9dc","4,332.706071132352437369","No"
"0xcd33fe44c45d3f4cbdfb293a8d9d5a3d352c601a","4,226.428415570501100114","No"
"0x21387a57a16186737599447802a3dab57df17c45","4,217.835985803612502231","No"
"0x353e812c3ddc2062f0c08bfadb06890279d3bfa9","4,201.429633946038969312","No"
"0xade15efd0d9bd05ab4271e50be996cbb9f66e72e","4,196.596166836159496369","No"
